"Name","Rating","Tags","Difficulty.f"
"Genomics for Law","4.8","['Social Sciences', 'Law']","Beginner Level"
"Simulation Skills: This is Your Brain on the Future","4.8","['Business', 'Business Essentials']","Beginner Level"
"Agile with Atlassian Jira","4.7","['Computer Science', 'Software Development']","Beginner Level"
"Questionnaire Design for Social Surveys","4.4","['Health', 'Psychology']","None"
"Data Structures and Algorithms (I)","None","['Computer Science', 'Algorithms']","Intermediate Level"
"Projeto Aplicado - Introdução a Gestão de Projetos","4.9","['Business', 'Leadership and Management']","None"
"Clasificación de imágenes: ¿cómo reconocer el contenido de una imagen?","4.4","['Computer Science', 'Algorithms']","None"
"Business Chinese 1 中级汉语 （上）","None","['Language Learning', 'Other Languages']","Intermediate Level"
"China’s Economic Transformation Part 1: Economic Reform and Growth in China","4.8","['Social Sciences', 'Economics']","None"
"Blockchain e Negócios: Aplicativos e Implicações","None","['Business', 'Business Essentials']","None"
"Cartographie thématique","4.5","['Social Sciences', 'Governance and Society']","Beginner Level"
"Cybersecurity Compliance Framework & System Administration","4.7","['Information Technology', 'Security']","None"
"Negociación 4.0","4.6","['Business', 'Business Strategy']","Beginner Level"
"La recherche documentaire","4.4","['Personal Development', 'Personal Development']","Beginner Level"
"Transmedia Writing","4.5","['Arts and Humanities', 'History']","Beginner Level"
